build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,split_mode,main_gpu,no_kv_offload,flash_attn,tensor_split,use_mmap,embeddings,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"8cf427ff","5163","AMD Ryzen 7 7800X3D 8-Core Processor","NVIDIA GeForce RTX 4080","CUDA","models/Qwen2.5-7B-Instruct-Q4_K_M.gguf","qwen2 7B Q4_K - Medium",4677120000,7615616512,2048,512,8,"0x0",0,50,"f16","f16",99,"layer",0,0,0,"0.00",1,0,512,0,0,"2025-04-24T11:57:09Z",69727000,222000,7340.20,23.45
"8cf427ff","5163","AMD Ryzen 7 7800X3D 8-Core Processor","NVIDIA GeForce RTX 4080","CUDA","models/Qwen2.5-7B-Instruct-Q4_K_M.gguf","qwen2 7B Q4_K - Medium",4677120000,7615616512,2048,512,8,"0x0",0,50,"f16","f16",99,"layer",0,0,0,"0.00",1,0,0,128,0,"2025-04-24T11:57:10Z",1061357500,5188000,120.60,0.59
"8cf427ff","5163","AMD Ryzen 7 7800X3D 8-Core Processor","NVIDIA GeForce RTX 4080","CUDA","models/Qwen2.5-7B-Instruct-Q4_K_M.gguf","qwen2 7B Q4_K - Medium",4677120000,7615616512,2048,512,8,"0x0",0,50,"f16","f16",99,"layer",0,0,0,"0.00",1,0,512,0,512,"2025-04-24T11:57:11Z",79680000,233000,6425.91,18.88
"8cf427ff","5163","AMD Ryzen 7 7800X3D 8-Core Processor","NVIDIA GeForce RTX 4080","CUDA","models/Qwen2.5-7B-Instruct-Q4_K_M.gguf","qwen2 7B Q4_K - Medium",4677120000,7615616512,2048,512,8,"0x0",0,50,"f16","f16",99,"layer",0,0,0,"0.00",1,0,0,128,512,"2025-04-24T11:57:12Z",1097054500,5641000,116.71,0.60
"8cf427ff","5163","AMD Ryzen 7 7800X3D 8-Core Processor","NVIDIA GeForce RTX 4080","CUDA","models/llama-7B-Q4_0.gguf","llama 7B mostly Q4_0",3825819648,6738415616,2048,512,8,"0x0",0,50,"f16","f16",99,"layer",0,0,0,"0.00",1,0,0,128,0,"2025-04-24T12:00:00Z",968000000,4200000,132.19,0.55
"8cf427ff","5163","AMD Ryzen 7 7800X3D 8-Core Processor","NVIDIA GeForce RTX 4080","CUDA","models/llama-7B-Q4_0.gguf","llama 7B mostly Q4_0",3825819648,6738415616,2048,512,8,"0x0",0,50,"f16","f16",99,"layer",0,0,0,"0.00",1,0,512,0,0,"2025-04-24T12:00:01Z",216000000,8800000,2368.80,93.24
"8cf427ff","5163","AMD Ryzen 7 7800X3D 8-Core Processor","NVIDIA GeForce RTX 4080","CUDA","models/llama-13B-Q4_0.gguf","llama 13B mostly Q4_0",7361600000,13017722880,2048,512,8,"0x0",0,50,"f16","f16",99,"layer",0,0,0,"0.00",1,0,0,128,0,"2025-04-24T12:00:10Z",1557000000,5800000,82.17,0.31
"8cf427ff","5163","AMD Ryzen 7 7800X3D 8-Core Processor","NVIDIA GeForce RTX 4080","CUDA","models/llama-13B-Q4_0.gguf","llama 13B mostly Q4_0",7361600000,13017722880,2048,512,8,"0x0",0,50,"f16","f16",99,"layer",0,0,0,"0.00",1,0,512,0,0,"2025-04-24T12:00:11Z",355000000,11000000,1442.00,15.00
"8cf427ff","5163","AMD Ryzen 7 7800X3D 8-Core Processor","","CPU","models/llama-7B-Q4_0.gguf","llama 7B mostly Q4_0",3825819648,6738415616,2048,512,8,"0x0",0,50,"f16","f16",0,"layer",0,0,0,"0.00",1,0,64,0,0,"2025-04-24T13:00:00Z",1981000000,75000000,32.29,1.21
"8cf427ff","5163","AMD Ryzen 7 7800X3D 8-Core Processor","","CPU","models/llama-7B-Q4_0.gguf","llama 7B mostly Q4_0",3825819648,6738415616,2048,512,8,"0x0",0,50,"f16","f16",0,"layer",0,0,0,"0.00",1,0,0,16,0,"2025-04-24T13:00:01Z",957000000,38000000,16.71,0.66
"8cf427ff","5163","AMD Ryzen 7 7800X3D 8-Core Processor","","CPU","models/llama-7B-Q4_0.gguf","llama 7B mostly Q4_0",3825819648,6738415616,2048,512,32,"0x0",0,50,"f16","f16",0,"layer",0,0,0,"0.00",1,0,64,0,0,"2025-04-24T13:00:10Z",1085000000,20000000,59.00,1.11
"8cf427ff","5163","AMD Ryzen 7 7800X3D 8-Core Processor","","CPU","models/llama-7B-Q4_0.gguf","llama 7B mostly Q4_0",3825819648,6738415616,2048,512,32,"0x0",0,50,"f16","f16",0,"layer",0,0,0,"0.00",1,0,0,16,0,"2025-04-24T13:00:11Z",975000000,47000000,16.41,0.79
